target,split,model,fold,n_train,n_test,log_mae,log_rmse,log_r2,seconds_mae,seconds_rmse,seconds_r2
sample_warm_median_s,family_held_out,median_log,1,36,12,0.09577318917701398,0.12265360840485996,-0.10377944495113467,0.12601826618115197,0.16549872425557122,-0.130595396431612
sample_warm_median_s,family_held_out,ridge,1,36,12,0.17956157525262226,0.18255018591115713,-1.4450413175398054,0.2593370047547521,0.27096475607760295,-2.0307040214055747
sample_warm_median_s,family_held_out,hgb,1,36,12,0.09169685230201757,0.1302944258529707,-0.24558484708831907,0.12103243780413192,0.17545133192157789,-0.27066553644831925
sample_warm_median_s,family_held_out,median_log,2,36,12,0.16316366033041355,0.2020220117198864,-1.8760688735667164,0.21480854878942016,0.27293322557545857,-1.6276184995262826
sample_warm_median_s,family_held_out,ridge,2,36,12,0.13118177137921663,0.13443957844067556,-0.27366783982308873,0.1700998948946444,0.1771050752490009,-0.10639832305220165
sample_warm_median_s,family_held_out,hgb,2,36,12,0.14064665045361166,0.18277728405287347,-1.3542161705325455,0.18846678578374498,0.25095406238812146,-1.2214572287356726
sample_warm_median_s,family_held_out,median_log,3,36,12,0.1181730760172553,0.11935148535151466,-0.22855552656797284,0.1415352805556882,0.1422873609933672,-0.17529002216711476
sample_warm_median_s,family_held_out,ridge,3,36,12,0.037337611381840496,0.040217879047729194,0.8604989550548735,0.044845145369276196,0.05026910250109724,0.8533052190701313
sample_warm_median_s,family_held_out,hgb,3,36,12,0.12122080767335101,0.12357075661183328,-0.31695381605240325,0.14531378052593205,0.14703731357165167,-0.25506875742529034
sample_warm_median_s,cap_held_out,median_log,0,36,12,0.11554716578254226,0.14082599585664962,-0.008585231136949867,0.14507874183285216,0.18263938144666025,-0.024691289144762374
sample_warm_median_s,cap_held_out,ridge,0,36,12,0.02941009262351991,0.033085710492275655,0.9443291473688924,0.03573540823847447,0.03982276527803511,0.9512845165304811
sample_warm_median_s,cap_held_out,hgb,0,36,12,0.11554716578254227,0.1403860842728628,-0.0022938454028795796,0.14507874183285216,0.18160771031405948,-0.013147681407545075
sample_warm_median_s,cap_held_out,median_log,1,36,12,0.11106746340571659,0.12832020219603854,-0.03803572526894228,0.13607437813896855,0.15856644507786882,-0.016459427499776247
sample_warm_median_s,cap_held_out,ridge,1,36,12,0.028385576646849892,0.03551822473820812,0.9204711446496159,0.036714451621954594,0.048039456005415995,0.9067038697626029
sample_warm_median_s,cap_held_out,hgb,1,36,12,0.11112459942204382,0.12835312356420023,-0.03856842299562624,0.1361448966190387,0.15859350460667912,-0.016806376818346402
sample_warm_median_s,cap_held_out,median_log,2,36,12,0.11696447474705146,0.14337813510807035,-0.031030352987190257,0.1471079495978586,0.18687381371090386,-0.055961424960957684
sample_warm_median_s,cap_held_out,ridge,2,36,12,0.020717749105629346,0.023390497506798842,0.9725599742467594,0.026763637339392368,0.03133072445761381,0.9703180772668331
sample_warm_median_s,cap_held_out,hgb,2,36,12,0.11467225598139673,0.14164127727137002,-0.0062022059235258276,0.14432304518996728,0.18374807055831302,-0.020931798673503366
sample_warm_median_s,cap_held_out,median_log,3,36,12,0.11638011051410219,0.14108953369453442,-0.008094250700615202,0.14603833724989576,0.18264589678704696,-0.024007426280639788
sample_warm_median_s,cap_held_out,ridge,3,36,12,0.011325414482981614,0.01549953474856228,0.9878339704809871,0.014715568950147875,0.020690296919285762,0.9868593541060469
sample_warm_median_s,cap_held_out,hgb,3,36,12,0.11638011051410217,0.1406911852591681,-0.0024098336920055363,0.14603833724989576,0.1817041565141073,-0.01347488313967804
sample_warm_median_s,width_held_out,median_log,0,32,16,0.1433408225872836,0.15915025872106195,-4.296460565077843,0.16958368556125208,0.18665090682493343,-4.730088110007569
sample_warm_median_s,width_held_out,ridge,0,32,16,0.09512013763049197,0.09609393141895967,-0.9309141653378414,0.08003830189262923,0.08847422163134196,-0.2874625132243227
sample_warm_median_s,width_held_out,hgb,0,32,16,0.13954024040055957,0.1557359692621708,-4.07164568709938,0.16469017109700845,0.18221631942829455,-4.461043447935619
sample_warm_median_s,width_held_out,median_log,1,32,16,0.10490726246479284,0.1257554356707519,-1.0891070068010573,0.12324501826703599,0.14575113463448774,-1.0836023468279565
sample_warm_median_s,width_held_out,ridge,1,32,16,0.0516768255973393,0.05530749133548337,0.5959128190339475,0.059977484984537775,0.06373699963472886,0.6015496795467916
sample_warm_median_s,width_held_out,hgb,1,32,16,0.10715074366317467,0.12837123619468135,-1.1769206559005125,0.12608001164082028,0.14905540636012257,-1.1791464346812037
sample_warm_median_s,width_held_out,median_log,2,32,16,0.24481656832048712,0.2596260057855994,-8.022898846155625,0.3167210853226903,0.34044979901007644,-6.432820658735717
sample_warm_median_s,width_held_out,ridge,2,32,16,0.17678912170230565,0.17781695287864507,-3.2324908917107367,0.23277597570050013,0.23475760517940758,-2.534165075957849
sample_warm_median_s,width_held_out,hgb,2,32,16,0.23392894283469223,0.24938576754041333,-7.325168530420321,0.30443393703853183,0.3290499077325495,-5.943381638300874
