status,source,runtime_semantics,target_name,observation_unit,family,circuit_variant,family_depth_multiplier,family_depth_parameter,num_qubits,logical_depth,logical_total_gate_count,logical_two_qubit_gate_count,circuit_seed,precision,optimizer_samples,optimizer_seed,path_optimization_s,pre_run_flop_count,pre_run_largest_intermediate_elements,pre_run_num_slices,first_contract_gpu_s,contract_gpu_median_s,contract_gpu_min_s,contract_gpu_max_s,scalar_real,scalar_imag,gpu_name,gpu_compute_capability
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qaoa_cycle,p_6,2.0,6,16,103,208,96,137,complex64,16,42,0.1216101059999346,3883912.0,16384.0,1,0.0009969919919967651,0.000517408013343811,0.0005093119740486145,0.000527072012424469,6.859118002466857e-05,1.930974394781515e-05,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qaoa_cycle,p_6,2.0,6,16,103,208,96,137,complex128,16,42,0.1259124759999395,3882888.0,16384.0,1,0.0023367679119110107,0.001991104006767273,0.0019888960123062133,0.001998496055603027,6.859124155010724e-05,1.9309742902162707e-05,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qaoa_cycle,p_3,1.0,3,20,64,140,60,137,complex64,16,42,0.0341666760004955,27192.0,64.0,1,0.0005207359790802002,0.00034691199660301207,0.0003394240140914917,0.00036656001210212707,8.925505972001702e-05,-6.318399391602725e-05,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qaoa_cycle,p_3,1.0,3,20,64,140,60,137,complex128,16,42,0.03542488699986279,26744.0,64.0,1,0.001338688015937805,0.001176416039466858,0.0011722240447998046,0.001180735945701599,8.925505676631379e-05,-6.318419110442887e-05,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qaoa_cycle,p_6,2.0,6,20,127,260,120,137,complex64,16,42,0.1682912550004403,3399176.0,8192.0,1,0.0020368959903717043,0.0006667199730873108,0.000661184012889862,0.0006745280027389526,-1.6323788258887362e-06,-1.961754378498881e-06,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qaoa_cycle,p_6,2.0,6,20,127,260,120,137,complex128,16,42,0.15923694699995394,3399176.0,8192.0,1,0.0031712958812713625,0.0028339519500732422,0.002829279899597168,0.0028347198963165282,-1.6323879710800509e-06,-1.9617464205033888e-06,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,random_brickwork,layers_8,1.0,8,8,24,156,28,137,complex64,16,42,0.025770883000404865,15592.0,128.0,1,0.0005216000080108642,0.0003304319977760315,0.00032604798674583434,0.0003357439935207367,0.12452316284179688,0.01051122136414051,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,random_brickwork,layers_8,1.0,8,8,24,156,28,137,complex128,16,42,0.024937946999671112,15592.0,128.0,1,0.0012544000148773193,0.00111900794506073,0.001117151975631714,0.0011223679780960082,0.12452319229784184,0.010511208952218597,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,random_brickwork,layers_16,2.0,16,8,48,312,56,137,complex64,16,42,0.05670417500004987,83976.0,256.0,1,0.0008495680093765259,0.0006304320096969605,0.0006160320043563843,0.0006494079828262329,0.010137997567653656,-0.0410970039665699,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,random_brickwork,layers_16,2.0,16,8,48,312,56,137,complex128,16,42,0.05587008600014087,83976.0,256.0,1,0.002380415916442871,0.0022095038890838623,0.002207103967666626,0.002216223955154419,0.010138029079729872,-0.0410969992642532,NVIDIA GeForce RTX 5070 Ti,12.0
