split,fold,family,circuit_variant,family_depth_multiplier,num_qubits,circuit_seed,actual_safe_complex64,predicted_safe_probability,selected_precision,relative_scalar_difference,selected_seconds
family_held_out,1,hea,layers_8,2.0,16.0,137,False,0.5487343544433834,complex128,2.245021552519519e-06,0.0022601919174194338
family_held_out,1,hea,layers_4,1.0,20.0,137,False,0.5587495032883151,complex128,5.950704182886217e-07,0.0015386879444122315
family_held_out,1,hea,layers_8,2.0,20.0,137,False,0.29822394568423927,complex128,1.0827239347305403e-06,0.002834239959716797
family_held_out,2,qaoa_cycle,p_3,1.0,8.0,137,False,0.7424849454731952,complex128,7.173722014020719e-07,0.0004761280119419098
family_held_out,2,qaoa_cycle,p_6,2.0,8.0,137,False,0.5362874160933904,complex128,1.5231552792273152e-06,0.0010206400156021118
family_held_out,2,qaoa_cycle,p_3,1.0,12.0,137,False,0.6181057499782875,complex128,8.408117964061954e-07,0.0007109439969062805
family_held_out,2,qaoa_cycle,p_6,2.0,12.0,137,False,0.4484710124976591,complex128,5.4712603836075145e-06,0.0018416320085525512
family_held_out,2,qaoa_cycle,p_3,1.0,16.0,137,False,0.6196049076833279,complex128,1.9356137762569014e-06,0.0009439359903335572
family_held_out,2,qaoa_cycle,p_6,2.0,16.0,137,False,0.22135604604373962,complex128,8.635493020647486e-07,0.001991104006767273
family_held_out,2,qaoa_cycle,p_3,1.0,20.0,137,False,0.5057589805925156,complex128,1.803382984211388e-06,0.001176416039466858
family_held_out,2,qaoa_cycle,p_6,2.0,20.0,137,False,0.1221687787831363,complex128,4.7501859576787695e-06,0.0028339519500732422
family_held_out,4,random_brickwork,layers_8,1.0,8.0,137,True,0.6803808379120879,complex128,2.557836323096331e-07,0.00111900794506073
family_held_out,4,random_brickwork,layers_16,2.0,8.0,137,False,0.22979473304473302,complex128,7.526991404183562e-07,0.0022095038890838623
family_held_out,4,random_brickwork,layers_8,1.0,12.0,137,False,0.5414072177822178,complex128,7.468451428519191e-07,0.0016902079582214356
family_held_out,4,random_brickwork,layers_16,2.0,12.0,137,False,0.23783044733044734,complex128,5.271669700280333e-07,0.0038290879726409913
family_held_out,4,random_brickwork,layers_8,1.0,16.0,137,True,0.43828221778221776,complex128,4.3774365733636454e-07,0.0022585279941558837
family_held_out,4,random_brickwork,layers_16,2.0,16.0,137,False,0.18858044733044732,complex128,7.420944371737088e-07,0.005210400104522705
family_held_out,4,random_brickwork,layers_8,1.0,20.0,137,False,0.3001344003219004,complex128,5.257737385137403e-07,0.0028286080360412596
family_held_out,4,random_brickwork,layers_16,2.0,20.0,137,False,0.12242072510822517,complex128,1.3716867959538017e-06,0.00672495985031128
family_held_out,3,qft,full,1.0,8.0,137,True,0.544212690503583,complex128,1.7881393366003817e-07,0.00034915199875831603
family_held_out,3,qft,full,1.0,12.0,137,True,0.32981844419915035,complex128,2.3841857810236202e-07,0.0008139839768409729
family_held_out,3,qft,full,1.0,16.0,137,True,0.165721664571807,complex128,4.7683715698188026e-07,0.0018170239925384521
family_held_out,3,qft,full,1.0,20.0,137,False,0.08614197690930561,complex128,5.364418012021597e-07,0.003225759983062744
width_held_out,0,ghz,chain,1.0,8.0,42,True,0.9971358590669734,complex64,1.7114270947149224e-08,6.71679973602295e-05
width_held_out,1,ghz,chain,1.0,12.0,42,True,0.9439167749832051,complex64,1.7114270947149224e-08,9.209600090980529e-05
width_held_out,2,ghz,chain,1.0,16.0,42,True,0.9729971357284881,complex64,1.7114270947149224e-08,0.00010271999984979629
width_held_out,3,ghz,chain,1.0,20.0,42,True,0.9769059667461595,complex64,1.7114270947149224e-08,0.0001236800029873848
width_held_out,0,hea,layers_4,1.0,8.0,42,False,0.9722888629806501,complex64,8.823523001129403e-07,0.00018665599822998048
width_held_out,1,hea,layers_4,1.0,12.0,42,True,0.5391165058819934,complex128,2.575715153812633e-07,0.0009232320189476014
width_held_out,2,hea,layers_4,1.0,16.0,42,True,0.6358390200075775,complex128,4.6492174407904526e-07,0.0012336640357971192
width_held_out,3,hea,layers_4,1.0,20.0,42,False,0.7904008925232966,complex128,5.950704182886217e-07,0.0015393279790878295
width_held_out,0,qaoa_cycle,p_3,1.0,8.0,42,False,0.548900760574782,complex128,7.173722014020719e-07,0.00047702398896217347
width_held_out,1,qaoa_cycle,p_3,1.0,12.0,42,False,0.10508540543730822,complex128,8.408117964061954e-07,0.0007097600102424622
width_held_out,2,qaoa_cycle,p_3,1.0,16.0,42,False,0.08697382446816204,complex128,1.9356137762569014e-06,0.0009418879747390747
width_held_out,3,qaoa_cycle,p_3,1.0,20.0,42,False,0.12123200892027285,complex128,1.803382984211388e-06,0.0011763520240783692
width_held_out,0,random_brickwork,layers_8,1.0,8.0,42,False,0.7220112129869187,complex128,5.227405517167985e-07,0.0011181440353393555
width_held_out,1,random_brickwork,layers_8,1.0,12.0,42,True,0.5380993562631519,complex128,4.75594498931929e-08,0.0016889599561691283
