compiler,architecture,device_label,circuit,logical_width,allocated_width,depth,total_ops,one_qubit_ops,two_qubit_ops,estimated_execution_seconds
sqgm,eagle,ibm_kyiv,vqe16,16,127,246,1020,963,57,2.198755555555553e-05
sqgm,eagle,ibm_kyiv,vqe4,4,127,32,96,93,3,2.133333333333334e-06
sqgm,eagle,ibm_kyiv,vqe8,8,127,103,296,286,10,7.168000000000002e-06
sqgm,eagle,ibm_brisbane,hamilsim16,16,127,352,1219,1141,78,3.023999999999997e-05
sqgm,eagle,ibm_brisbane,hamilsim32,32,127,710,6607,6167,440,6.408000000000002e-05
sqgm,eagle,ibm_brisbane,hamilsim4,4,127,63,127,121,6,4.86e-06
sqgm,eagle,ibm_brisbane,hamilsim8,8,127,132,319,299,20,1.296e-05
sqgm,eagle,ibm_brisbane,qaoa16,16,127,2351,13376,12434,942,0.0002071199999999993
sqgm,eagle,ibm_brisbane,qaoa4,4,127,205,350,332,18,1.511999999999999e-05
sqgm,eagle,ibm_brisbane,qaoa8,8,127,850,2256,2107,149,7.145999999999997e-05
sqgm,eagle,ibm_brisbane,qft16,16,127,2033,8736,8145,591,0.0001693799999999992
sqgm,eagle,ibm_brisbane,qft32,32,127,3742,44728,41717,3011,0.0003175200000000033
sqgm,eagle,ibm_brisbane,qft4,4,127,171,282,264,18,1.44e-05
sqgm,eagle,ibm_brisbane,qft64,64,127,14093,230904,214818,16086,0.001208760000000006
sqgm,eagle,ibm_brisbane,qft8,8,127,638,1624,1517,107,5.22000000000001e-05
sqgm,eagle,ibm_brisbane,vqe16,16,127,246,1020,963,57,2.567999999999998e-05
sqgm,eagle,ibm_brisbane,vqe4,4,127,32,96,93,3,2.519999999999999e-06
sqgm,eagle,ibm_brisbane,vqe8,8,127,103,296,286,10,8.34e-06
sqgm,heron,ibm_marrakesh,hamilsim16,16,156,250,736,649,87,5.376000000000007e-06
sqgm,heron,ibm_marrakesh,hamilsim32,32,156,424,2705,2355,350,9.207999999999997e-06
sqgm,heron,ibm_marrakesh,hamilsim4,4,156,46,73,67,6,8.399999999999999e-07
sqgm,heron,ibm_marrakesh,hamilsim8,8,156,106,182,165,17,2.128e-06
sqgm,heron,ibm_marrakesh,qaoa16,16,156,1307,6737,5810,927,3.017600000000012e-05
sqgm,heron,ibm_marrakesh,qaoa4,4,156,110,164,146,18,2.268000000000001e-06
sqgm,heron,ibm_marrakesh,qaoa8,8,156,440,1072,932,140,9.679999999999994e-06
sqgm,heron,ibm_marrakesh,qft16,16,156,1170,5259,4566,693,2.697200000000006e-05
sqgm,heron,ibm_marrakesh,qft32,32,156,2870,25664,22224,3440,6.55479999999992e-05
sqgm,heron,ibm_marrakesh,qft4,4,156,128,156,138,18,2.412000000000001e-06
sqgm,heron,ibm_marrakesh,qft64,64,156,7392,121236,104808,16428,0.0001690159999999931
sqgm,heron,ibm_marrakesh,qft8,8,156,394,899,786,113,8.456000000000003e-06
sqgm,heron,ibm_marrakesh,vqe16,16,156,138,471,438,33,3.336000000000002e-06
sqgm,heron,ibm_marrakesh,vqe4,4,156,30,81,78,3,5.279999999999999e-07
sqgm,heron,ibm_marrakesh,vqe8,8,156,46,190,180,10,9.439999999999997e-07
sqgm,heron,ibm_kingston,hamilsim16,16,156,250,736,649,87,5.075999999999997e-06
sqgm,heron,ibm_kingston,hamilsim32,32,156,424,2705,2355,350,8.812000000000005e-06
sqgm,heron,ibm_kingston,hamilsim4,4,156,46,73,67,6,7.92e-07
sqgm,heron,ibm_kingston,hamilsim8,8,156,106,182,165,17,2.020000000000001e-06
sqgm,heron,ibm_kingston,qaoa16,16,156,1307,6737,5810,927,2.87199999999999e-05
sqgm,heron,ibm_kingston,qaoa4,4,156,110,164,146,18,2.236e-06
sqgm,heron,ibm_kingston,qaoa8,8,156,440,1072,932,140,9.228000000000009e-06
sqgm,heron,ibm_kingston,qft16,16,156,1170,5259,4566,693,2.510799999999995e-05
sqgm,heron,ibm_kingston,qft32,32,156,2870,25664,22224,3440,6.272000000000078e-05
sqgm,heron,ibm_kingston,qft4,4,156,128,156,138,18,2.28e-06
sqgm,heron,ibm_kingston,qft64,64,156,7392,121236,104808,16428,0.0001605679999999926
sqgm,heron,ibm_kingston,qft8,8,156,394,899,786,113,8.236e-06
sqgm,heron,ibm_kingston,vqe16,16,156,138,471,438,33,3.191999999999999e-06
sqgm,heron,ibm_kingston,vqe4,4,156,30,81,78,3,4.920000000000001e-07
sqgm,heron,ibm_kingston,vqe8,8,156,46,190,180,10,8.919999999999999e-07
sqgm,heron,ibm_aachen,hamilsim16,16,156,250,736,649,87,5.139999999999997e-06
sqgm,heron,ibm_aachen,hamilsim32,32,156,424,2705,2355,350,9.168000000000008e-06
sqgm,heron,ibm_aachen,hamilsim4,4,156,46,73,67,6,7.92e-07
sqgm,heron,ibm_aachen,hamilsim8,8,156,106,182,165,17,2.044000000000001e-06
sqgm,heron,ibm_aachen,qaoa16,16,156,1307,6737,5810,927,3.450800000000001e-05
sqgm,heron,ibm_aachen,qaoa4,4,156,110,164,146,18,2.152e-06
sqgm,heron,ibm_aachen,qaoa8,8,156,440,1072,932,140,9.492000000000008e-06
sqgm,heron,ibm_aachen,qft16,16,156,1170,5259,4566,693,2.510799999999995e-05
sqgm,heron,ibm_aachen,qft32,32,156,2870,25664,22224,3440,7.95320000000012e-05
sqgm,heron,ibm_aachen,qft4,4,156,128,156,138,18,2.28e-06
sqgm,heron,ibm_aachen,qft64,64,156,7392,121236,104808,16428,0.0001806199999999898
sqgm,heron,ibm_aachen,qft8,8,156,394,899,786,113,8.067999999999998e-06
sqgm,heron,ibm_aachen,vqe16,16,156,138,471,438,33,3.339999999999999e-06
sqgm,heron,ibm_aachen,vqe4,4,156,30,81,78,3,4.920000000000001e-07
sqgm,heron,ibm_aachen,vqe8,8,156,46,190,180,10,9.039999999999998e-07
qiskit141_proxy,eagle,ibm_sherbrooke,hamilsim16,16,127,52,149,134,15,8.739555555555553e-06
qiskit141_proxy,eagle,ibm_sherbrooke,hamilsim32,32,127,105,305,274,31,1.795555555555557e-05
qiskit141_proxy,eagle,ibm_sherbrooke,hamilsim4,4,127,16,35,32,3,1.941333333333333e-06
qiskit141_proxy,eagle,ibm_sherbrooke,hamilsim8,8,127,27,71,64,7,4.188444444444444e-06
qiskit141_proxy,eagle,ibm_sherbrooke,qaoa16,16,127,1131,4250,3475,775,0.0001752888888888891
qiskit141_proxy,eagle,ibm_sherbrooke,qaoa4,4,127,69,104,88,16,9.784888888888886e-06
qiskit141_proxy,eagle,ibm_sherbrooke,qaoa8,8,127,281,609,501,108,4.327111111111105e-05
qiskit141_proxy,eagle,ibm_sherbrooke,qft16,16,127,633,2821,2342,479,9.683911111111103e-05
qiskit141_proxy,eagle,ibm_sherbrooke,qft32,32,127,2591,12906,10634,2272,0.0004136462222222156
qiskit141_proxy,eagle,ibm_sherbrooke,qft4,4,127,68,97,81,16,1.012622222222222e-05
qiskit141_proxy,eagle,ibm_sherbrooke,qft64,64,127,5657,37682,30984,6698,0.0009255111111111288
qiskit141_proxy,eagle,ibm_sherbrooke,qft8,8,127,230,537,446,91,3.635911111111115e-05
qiskit141_proxy,eagle,ibm_sherbrooke,vqe16,16,127,82,230,215,15,9.592888888888887e-06
qiskit141_proxy,eagle,ibm_sherbrooke,vqe4,4,127,20,48,45,3,1.998222222222222e-06
qiskit141_proxy,eagle,ibm_sherbrooke,vqe8,8,127,40,108,101,7,4.529777777777776e-06
qiskit141_proxy,eagle,ibm_kyiv,hamilsim16,16,127,52,149,134,15,9.180444444444445e-06
qiskit141_proxy,eagle,ibm_kyiv,hamilsim32,32,127,105,305,274,31,1.885155555555555e-05
qiskit141_proxy,eagle,ibm_kyiv,hamilsim4,4,127,16,35,32,3,1.934222222222222e-06
