source,runtime_semantics,observation_unit,target_name,family,circuit_variant,family_depth_multiplier,family_depth_parameter,num_qubits,logical_depth,logical_total_gate_count,logical_single_qubit_gate_count,logical_two_qubit_gate_count,precision,optimizer_cost_function,cutensornet_runtime_est_s,cutensornet_effective_flops_est,cutensornet_flop_count,cutensornet_largest_intermediate_elements,cutensornet_num_slices,tensor_network_build_s,path_optimization_s,first_contract_gpu_s,contract_gpu_median_s,contract_gpu_mean_s,contract_gpu_min_s,contract_gpu_max_s,contract_gpu_stdev_s,end_to_end_first_s,warmups,repeats,seed,gpu_name,gpu_compute_capability,gpu_memory_bytes,feasibility_status,cell_timeout_s
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,qaoa_cycle,p_3,1.0,3,28,88,196,112,84,complex64,TIME_TUNED,0.00251004177225,50200835445.0,38776.0,64.0,1,0.027580902999943646,0.06014434800090385,0.002487168073654175,0.0004947200119495392,0.0005054463922977447,0.0004868159890174866,0.0005296319723129272,1.989189608418843e-05,0.3463159650738962,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,qaoa_cycle,p_6,2.0,6,28,175,364,196,168,complex64,TIME_TUNED,0.00419065875225,83813175045.0,4939000.0,8192.0,1,0.03168817999994644,0.316642387999309,0.01780099105834961,0.0009299200177192687,0.0009446592092514038,0.0009222080111503601,0.0010037440061569213,3.399431902295689e-05,0.6226625430577697,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,qaoa_cycle,p_2,0.5,2,30,63,150,90,60,complex64,TIME_TUNED,0.00209002047825,41800409565.0,11608.0,32.0,1,0.02656502699937846,0.029825135000464797,0.0023471999168396,0.0004399040043354034,0.0004393664062023163,0.00039958399534225465,0.0005102720260620117,4.37734351577946e-05,0.31380882791680054,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,qaoa_cycle,p_3,1.0,3,30,94,210,120,90,complex64,TIME_TUNED,0.00269004452825,53800890565.0,41224.0,64.0,1,0.02738596899962431,0.06279973799973959,0.002465183973312378,0.0005345280170440674,0.0005589504003524781,0.0005072000026702881,0.0006890239715576172,7.559861030858548e-05,0.34514582497310037,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,qaoa_cycle,p_6,2.0,6,30,187,390,210,180,complex64,TIME_TUNED,0.00449065165425,89813033085.0,5168728.0,8192.0,1,0.032908735999626515,0.30307944499963924,0.01678227233886719,0.0009676160216331482,0.000999718415737152,0.0009593920111656189,0.0010922880172729492,5.613353201051805e-05,0.6064919323381109,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,random_brickwork,layers_4,0.5,4,16,12,158,128,30,complex64,TIME_TUNED,0.00189001348425,37800269685.0,6656.0,32.0,1,0.003610978000324394,0.025169607999487198,0.0022783360481262206,0.000407584011554718,0.00039410560131073,0.0003618240058422089,0.0004112319946289063,2.2047343589352313e-05,0.2853736310479653,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,random_brickwork,layers_8,1.0,8,16,24,316,256,60,complex64,TIME_TUNED,0.00347004931225,69400986245.0,47848.0,128.0,1,0.00625336699977197,0.05661735800003953,0.0026503040790557863,0.0007140480279922485,0.0007611135959625243,0.0006109439730644226,0.000927839994430542,0.00013674901057576759,0.320397397078581,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,random_brickwork,layers_16,2.0,16,16,48,632,512,120,complex64,TIME_TUNED,0.00663297490673,132659498134.6,19293016.0,131072.0,1,0.01084586499928264,0.23979800899996917,0.022954496383666992,0.0013863680362701416,0.001477344012260437,0.0013167359828948975,0.0019040000438690185,0.0002409623205581802,0.5309683203837121,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,random_brickwork,layers_4,0.5,4,20,12,198,160,38,complex64,TIME_TUNED,0.00237001738425,47400347685.0,8632.0,32.0,1,0.004156144999797107,0.03049198400003661,0.0023903679847717286,0.0004771519899368286,0.00048617600798606873,0.0004544320106506348,0.0005261440277099609,2.8256722902491772e-05,0.293659231984675,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,random_brickwork,layers_8,1.0,8,20,24,396,320,76,complex64,TIME_TUNED,0.00435006415825,87001283165.0,63480.0,128.0,1,0.0077058490005583735,0.07053797699973074,0.0032994880676269532,0.0009108480215072632,0.0009100224018096924,0.0008961600065231323,0.000925055980682373,1.2337694791995742e-05,0.3362678560679924,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
