family,n_qubits,rows,cols,dt_ns,precision,target_fidelity,pulse_duration_ns,pulse_segments,amplitude_max,amplitude_mean,detuning_max_abs,detuning_mean,rung,fidelity,reached_target,observed_max_chi,peak_rss_mb,step_seconds,wall_seconds,reference_max_chi,reference_wall_seconds
strong,16,4,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,0.0,0.0,32,0.9999998606577949,True,32,17.486335999999998,47.88523602485657,47.91938633300015,60,49.20160548200147
detuned,8,2,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,5.0,-5.0,1,0.6870862688525564,False,1,17.486335999999998,3.591050386428833,3.6158023509997292,11,13.903141669001343
detuned,8,2,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,5.0,-5.0,2,0.4967918772176096,False,2,17.486335999999998,9.138634204864502,9.164483258999098,11,13.903141669001343
detuned,8,2,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,5.0,-5.0,4,0.9070651614328732,False,4,17.486335999999998,12.068479299545288,12.095587926000007,11,13.903141669001343
detuned,8,2,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,5.0,-5.0,8,0.9999999997505482,True,8,17.486335999999998,13.378222465515137,13.405823888002487,11,13.903141669001343
detuned,12,3,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,5.0,-5.0,1,0.47552113740104573,False,1,17.486335999999998,5.8424365520477295,5.871205488998385,26,27.806188864000433
detuned,12,3,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,5.0,-5.0,2,0.2450083805715695,False,2,17.486335999999998,14.864132642745972,14.894158004000928,26,27.806188864000433
detuned,12,3,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,5.0,-5.0,4,0.7291734334281214,False,4,17.486335999999998,19.68643283843994,19.71730842100078,26,27.806188864000433
detuned,12,3,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,5.0,-5.0,8,0.9817925285170267,False,8,17.486335999999998,22.75260329246521,22.783538632000273,26,27.806188864000433
detuned,12,3,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,5.0,-5.0,16,0.9999999815954127,True,16,17.486335999999998,25.935428380966187,25.96635951099961,26,27.806188864000433
detuned,16,4,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,5.0,-5.0,1,0.2589074776129206,False,1,17.486335999999998,8.101774215698242,8.13374326399935,51,47.50502795200009
detuned,16,4,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,5.0,-5.0,2,0.2937498716206907,False,2,17.486335999999998,20.3349711894989,20.368085223999515,51,47.50502795200009
detuned,16,4,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,5.0,-5.0,4,0.7717967412845759,False,4,17.486335999999998,27.287365913391113,27.321095505998528,51,47.50502795200009
detuned,16,4,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,5.0,-5.0,8,0.9541071533047252,False,8,17.486335999999998,32.64597821235657,32.679793493000034,51,47.50502795200009
detuned,16,4,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,5.0,-5.0,16,0.9985705847823279,True,16,17.486335999999998,37.858256101608276,37.892611313996895,51,47.50502795200009
two_stage,8,2,4,10.0,1e-06,0.99,1000.0,2.0,5.0,3.5,5.0,2.5,1,0.1996731235860769,False,1,17.486335999999998,3.617440700531006,3.6425723690008454,11,14.028981729999941
two_stage,8,2,4,10.0,1e-06,0.99,1000.0,2.0,5.0,3.5,5.0,2.5,2,0.04229661121069904,False,2,17.486335999999998,8.97041940689087,8.996901320002507,11,14.028981729999941
two_stage,8,2,4,10.0,1e-06,0.99,1000.0,2.0,5.0,3.5,5.0,2.5,4,0.2414876822810973,False,4,17.486335999999998,12.19978952407837,12.227086841001437,11,14.028981729999941
two_stage,8,2,4,10.0,1e-06,0.99,1000.0,2.0,5.0,3.5,5.0,2.5,8,0.9999999762434925,True,8,17.486335999999998,13.672518253326416,13.700399738998385,11,14.028981729999941
two_stage,12,3,4,10.0,1e-06,0.99,1000.0,2.0,5.0,3.5,5.0,2.5,1,0.10966231223672546,False,1,17.486335999999998,5.901882171630859,5.931281964996742,32,29.587640622001345
two_stage,12,3,4,10.0,1e-06,0.99,1000.0,2.0,5.0,3.5,5.0,2.5,2,0.043680518694613604,False,2,17.486335999999998,14.574339866638184,14.605014822001976,32,29.587640622001345
two_stage,12,3,4,10.0,1e-06,0.99,1000.0,2.0,5.0,3.5,5.0,2.5,4,0.311601950025202,False,4,17.486335999999998,19.245678901672363,19.276928244999,32,29.587640622001345
two_stage,12,3,4,10.0,1e-06,0.99,1000.0,2.0,5.0,3.5,5.0,2.5,8,0.7384572308898181,False,8,17.486335999999998,22.740617036819458,22.772249607001868,32,29.587640622001345
two_stage,12,3,4,10.0,1e-06,0.99,1000.0,2.0,5.0,3.5,5.0,2.5,16,0.9999994974801895,True,16,17.486335999999998,26.230490922927856,26.261868888999743,32,29.587640622001345
two_stage,16,4,4,10.0,1e-06,0.99,1000.0,2.0,5.0,3.5,5.0,2.5,1,0.08676592728246049,False,1,19.7248,8.211565017700195,8.24455550499988,74,50.32735425499777
two_stage,16,4,4,10.0,1e-06,0.99,1000.0,2.0,5.0,3.5,5.0,2.5,2,0.010841232577808373,False,2,19.7248,20.24262809753418,20.27646865299903,74,50.32735425499777
two_stage,16,4,4,10.0,1e-06,0.99,1000.0,2.0,5.0,3.5,5.0,2.5,4,0.27967511740704903,False,4,19.7248,27.12454628944397,27.1587996140006,74,50.32735425499777
two_stage,16,4,4,10.0,1e-06,0.99,1000.0,2.0,5.0,3.5,5.0,2.5,8,0.6139959449453795,False,8,19.7248,32.63829946517944,32.67290228799902,74,50.32735425499777
two_stage,16,4,4,10.0,1e-06,0.99,1000.0,2.0,5.0,3.5,5.0,2.5,16,0.9762655320860433,False,16,19.7248,38.20648646354675,38.24129537499903,74,50.32735425499777
two_stage,16,4,4,10.0,1e-06,0.99,1000.0,2.0,5.0,3.5,5.0,2.5,32,0.9999985353403235,True,32,19.7248,48.39811182022095,48.43280191499798,74,50.32735425499777
