model,circuit_id,oracle_context,selected_context,oracle_seconds,selected_actual_seconds,selection_regret_seconds,selection_regret_ratio,exact_fastest
graph_hgb,6c86342849c93596c09e51ce91296f2869f5d916e2491c6df6daa034220193c7,cuda:complex64,cuda:complex64,0.0032123310011229,0.0032123310011229,0.0,1.0,True
graph_hgb,70719cf9483879bd480424e895ddb165b0f11c66d3a3971641bdda3d9639b840,cuda:complex64,cuda:complex64,0.0136329949964419,0.0136329949964419,0.0,1.0,True
graph_hgb,8ace777456e9208a9ffa10fabdd2444a291be86d30697fb936fbd3e6ea01ca7d,cuda:complex64,cuda:complex64,0.7373451130042668,0.7373451130042668,0.0,1.0,True
graph_hgb,98580d967884bba53ae767ee2066c573881d32eec20fc5eaee4e6c534d1636c9,cuda:complex64,cuda:complex64,0.6780596819953644,0.6780596819953644,0.0,1.0,True
graph_hgb,98963c793522cd9e39cf059873cc42a11c6058b14477f3fe310185fa2aaec433,cuda:complex64,cuda:complex64,0.369935839997197,0.369935839997197,0.0,1.0,True
graph_hgb,98e8a880816ba6248551fa297e91b7eb92adbfbcf08611ea3931e988d862243c,cuda:complex64,cuda:complex64,0.0330442039994522,0.0330442039994522,0.0,1.0,True
graph_hgb,99491262c549bd69b7593d56918e0b3971d2becab06dfb8dce30371b653b7de8,cuda:complex64,cuda:complex64,0.0156833389992243,0.0156833389992243,0.0,1.0,True
graph_hgb,a10fa785da93e2736b4342b54d9d3124b3f43f0aa2337c210b61a4e7b30762cc,cuda:complex64,cuda:complex64,0.0030178969973349,0.0030178969973349,0.0,1.0,True
graph_hgb,a5566b367204e19d5a4404ea4b1ea865e0e4a316d23a1767e076f8f846384865,cuda:complex64,cuda:complex64,0.0312515960031305,0.0312515960031305,0.0,1.0,True
graph_hgb,b260af0ffac0e7ac6f64a614c987a933a23cb0134b2f8cece0253c306ff71d77,cuda:complex64,cuda:complex64,0.0164665580014116,0.0164665580014116,0.0,1.0,True
graph_hgb,bde1dbbb4222811a01dc00c7a78fa5262be2cfc8204c806b9da4618edd29a57a,cuda:complex64,cuda:complex64,0.0062013499991735,0.0062013499991735,0.0,1.0,True
